Theme,Author/Year,Title,Venue,Year,Cited by,OA status,URL,Problem,Method,Algorithm,Main Result,Limitation,Research Gap,Relevance to my research,Decision,Full text needed
T2,2025,Characterizing Container Performance in Edge Computing,-,2025,2,gold,https://dl.acm.org/doi/pdf/10.1145/3744969.3748438,Docker overhead characterisation on constrained edge hardware,Micro and macro benchmarks on Raspberry Pi nodes,,"Spin-up delays for short tasks, isolation/performance trade-offs",Edge hardware; no prediction task,Container measurement characterisation continues to be published,Recent evidence that container measurement studies remain publishable.,INCLUDE,NO
T2,2025,Investigating the Impact of Isolation on Synchronized Benchmarks,arXiv (Cornell University),2025,0,green,https://arxiv.org/pdf/2511.03533,Which isolation mechanism makes cloud benchmarking reliable under contention?,"Compares cgroups plus CPU pinning, Docker containers, and Firecracker microVMs against an unisolated baseline with a noise generator",,Process isolation lowered false positives; Docker containers were MORE susceptible to noise despite using cgroups and pinning internally,Duet benchmarking context; no prediction task,cgroups plus CPU pinning as a benchmark isolation strategy is already evaluated,"STRONGEST PRIOR AGAINST FINCLUSTER'S PROTOCOL NOVELTY. The exact mechanism combination FinCluster arrived at in v0.6 is already published, and this paper finds Docker specifically weaker.",INCLUDE,YES
T2,2025,Does Linux Provide Performance Isolation for NVMe SSDs? Configuring cgroups for I/O Control in the NVMe Era,-,2025,0,green,https://research.vu.nl/en/publications/e2c27584-ebbf-4ccc-b97a-3f50572aa5f4,Whether cgroup configuration actually delivers storage performance isolation,Systematic evaluation of cgroup configurations for NVMe SSDs,,No uniform configuration achieves isolation across properties; trade-off with utilisation,Storage rather than CPU,cgroup isolation is imperfect and this is documented for storage,The storage analogue of FinCluster's CPU throttling finding - shows this style of result is publishable but also already being done.,INCLUDE,YES
T2,2025,Real-Time Interference-Aware CPU and I/O Capping Mechanism for Multi-Tenant Containers,-,2025,0,closed,https://doi.org/10.1109/cloud67622.2025.00039,Maintaining QoS under contention in multi-tenant containers,Real-time interference-aware CPU and I/O capping mechanism,,Conventional static capping is insufficient under high contention,"Mechanism paper, not a measurement-methodology paper",Dynamic capping as an alternative to static quotas,Suggests FinCluster's static-quota node model is a simplification reviewers may question.,INCLUDE,NO
T3,2026,Shortcut to Nowhere: Demystifying Deep Spurious Regression,arXiv (Cornell University),2026,0,green,https://arxiv.org/pdf/2606.01723,"Spurious correlations in CONTINUOUS regression targets, not classification",Defines Deep Spurious Regression; exploits similarity among spurious attributes in label and feature space,,Fills the benchmark and technique gap for spurious correlation in continuous prediction,"Evaluated on computer vision, environmental sensing and LLM regression - NOT systems","Spurious regression is now named and benchmarked, but never in a systems/performance-prediction setting","CLOSEST CONCEPTUAL PRIOR TO FINCLUSTER'S FINDING, and simultaneously the clearest evidence that the systems instance is unoccupied.",INCLUDE,YES
T3,2026,SynQL: A Controllable and Scalable Rule-Based Framework for SQL Workload Synthesis for Performance Benchmarking,arXiv (Cornell University),2026,0,green,https://arxiv.org/pdf/2604.08021,Existing benchmarks offer too few fixed templates for statistical generalisation,Deterministic schema-graph traversal to synthesise diverse executable SQL workloads,,Produces near-maximally diverse workloads where fixed templates and LLM generation fail,SQL domain; proposes a generator rather than diagnosing a degenerate one,"The problem FinCluster hit - a generator too template-bound to support generalisation - is acknowledged, but as motivation for a better generator, not as a measured failure",MOST IMPORTANT SINGLE PAPER FOR THE NOVELTY BOUNDARY. It states the premise; FinCluster measures the consequence.,INCLUDE,YES
T4,2013,AGILE: elastic distributed resource scaling for Infrastructure-as-a-Service,-,2013,219,closed,,Scaling resources ahead of demand without application knowledge,Wavelet-based medium-term resource demand prediction,,Enough lead time to start instances before SLO violation,"VM scaling, not request routing",Prediction horizon and lead time as design parameters,Highly cited anchor for prediction-driven resource decisions.,INCLUDE,NO
T4,2021,SLO-Aware Inference Scheduler for Heterogeneous Processors in Edge Platforms,ACM Transactions on Architecture and Code Optimization,2021,54,diamond,https://dl.acm.org/doi/pdf/10.1145/3460352,Mapping concurrent ML inference to heterogeneous edge processors under SLOs,"SLO-aware scheduling across GPU, DSP and accelerators",,Scheduling heterogeneous computation under constrained budgets,Edge inference domain,Heterogeneous-processor scheduling with predicted cost,Precedent for routing across heterogeneous nodes using predicted execution cost - Option C's core mechanism.,INCLUDE,YES
T4,2019,Predicting the End-to-End Tail Latency of Containerized Microservices in the Cloud,-,2019,53,closed,https://doi.org/10.1109/ic2e.2019.00034,Predicting end-to-end tail latency of containerised microservice workflows,"ML over resource metrics from multiple cloud layers; KVM, Docker, Kubernetes on Chameleon",,High prediction accuracy even under multi-tenant interference,Sock Shop benchmark; no routing policy evaluated,Latency prediction in containers is established; using it to route is less so,DEFINES OPTION C'S ACADEMIC HOME. Closest venue-and-community match for FinCluster.,INCLUDE,YES
T4,2022,QoS-Aware Co-Scheduling for Distributed Long-Running Applications on Shared Clusters,IEEE Transactions on Parallel and Distributed Systems,2022,36,hybrid,https://ieeexplore.ieee.org/ielx7/71/9790018/09869329.pdf,Co-scheduling long-running containerised applications on shared clusters,QoS-aware co-scheduling accounting for latency propagation across microservices,,Detects and mitigates QoS violations under network and dependency uncertainty,"Cluster scheduling, not per-request routing",Queue and dependency effects dominate at system level,"Supports Option C's premise that queueing, not service time, drives system outcomes.",INCLUDE,YES
T4,2023,IRIS: Interference and Resource Aware Predictive Orchestration for ML Inference Serving,-,2023,8,closed,https://doi.org/10.1109/cloud60044.2023.00021,Interference- and resource-aware scheduling of ML inference in the cloud,Predictive inference scheduling framework,,Balances QoS against operator cost under interference,ML inference workloads specifically,Prediction-driven placement is an active area,Direct competitor framing for Option C; shows the baseline set reviewers will expect.,INCLUDE,NO
T4,2023,Adrias: Interference-Aware Memory Orchestration for Disaggregated Cloud Infrastructures,-,2023,7,closed,https://doi.org/10.1109/hpca56546.2023.10070939,Orchestration for disaggregated cloud infrastructure under interference,Deep learning over low-level performance events,,Additional scheduling knobs for disaggregated resources,Memory disaggregation focus,Low-level event features for orchestration,Peripheral; included to map the orchestration community.,INCLUDE,NO
T4,2022,Niyama: Node scheduling for cloud workloads with resource isolation,Concurrency and Computation Practice and Experience,2022,1,closed,https://doi.org/10.1002/cpe.7196,Protecting latency-sensitive tasks from CPU bandwidth contention,Modified deadline scheduling with estimated deadlines per interval,,Secures CPU bandwidth for latency-sensitive tasks without explicit deadlines,Requires deadline estimation,CPU bandwidth contention handled at scheduler rather than quota level,Alternative to FinCluster's quota-based node emulation; a reviewer may ask why quotas were chosen.,INCLUDE,NO
T4,2026,From distributed tracing to proactive SLO management: a mini-review of trace-driven performance prediction for cloud-native microservices,Frontiers in Computer Science,2026,0,gold,https://public-pages-files-2025.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2026.1783945/pdf,Moving from post-hoc analysis to predicting SLO risk before a request finishes,Mini-review of trace-based proactive SLO management,,Queue buildup and downstream slowdown propagate to tail latency; early warning from partial traces,Review; microservice tracing context,Predicting completion before a request finishes is an active industrial demand,STRONGLY SUPPORTS OPTION C's target choice - completion time predicted from observable pre-completion state.,INCLUDE,YES
